,Price,Price,Price,Volume,Volume
,mean,median,std,sum,mean
Sector,,,,,
Basic Materials,41.47070110701107,9.67,78.08488998251008,740990862.0,2724231.1102941176
Communication Services,30.8173828125,8.145,73.53691594599924,536929504.0,2081122.1085271318
Consumer Cyclical,82.9262852112676,16.785,477.73722322062156,1392378660.0,2438491.523642732
Consumer Defensive,48.36085714285714,16.08,118.75951748434623,411670155.0,1680286.3469387756
Energy,32.13147410358566,17.86,64.02366537319092,635481182.0,2521750.722222222
Financial,178.2630023640662,29.525,9630.771192292685,3336342495.0,656889.6426461902
Healthcare,29.52148556876061,4.789999999999999,88.88632996012954,1196110011.0,1011937.4035532995
Industrials,72.51521538461539,20.255000000000003,169.62167643106474,985283899.0,1506550.3042813456
Real Estate,39.488452830188685,16.59,74.35198432949564,401502348.0,1515103.2
Technology,56.42657324840764,11.4,127.9891160146709,1817698322.0,2312593.2849872774
Utilities,48.83132743362832,36.65,47.44321742327544,160691278.0,1422046.7079646017
